,CUMUN,LITMUN,ALQM2mes_LV_M_VU_21,time_pub_trans,time_priv_trans,str_line_dist,has_tram,has_metro,has_rodalies,has_fgc,pt_lines,population,unemployment_rate,foreign_born_rate,superior_studies_rate,avg_inc_hh,population_growth,pop_density,ibi_urb,ibi_rur,cat_update,mob_estud,has_parks,rented_houses_mitma,industrial_waste,vpo,new_houses,parks_surface,has_beach
20,8204,Sant Climent de Llobregat,6.24074477096228,62.0,45.0,15.47,0,0,0,0,1.0,4199,0.08601809954751131,0.05906163372231484,0.3900358418671112,44805.0,0.07666666666666666,387.9,0.748,0.3,2006.0,0.43396226,1,158,71.44,0.0,0.5,12979.0,0
21,8205,Sant Cugat del Vallès,9.989520620601192,44.57137300661221,46.99933013526946,12.220256925536972,0,0,0,1,6.0,92556,0.07182524309607158,0.18406518972297853,0.6355714734863217,67071.91001123644,0.11836934913144762,1949.2,0.528,0.9,2006.0,0.8148254099999999,0,5950,14470.89,14.0,4.7,106231.0,0
22,8211,Sant Feliu de Llobregat,6.683921796767603,33.34811505534893,41.31461959990317,10.317529875217325,1,0,1,0,11.0,45439,0.1042964721934902,0.1255271000682233,0.35880832104579763,42384.99720504413,0.47264775108955936,3846.3,0.658,0.837,2006.0,0.78289913,1,2444,15243.49,21.0,1.8,52035.799919012294,0
23,8217,Sant Joan Despí,10.718265548619053,28.783722704860295,37.43704508100493,9.159585876966423,1,0,1,0,19.0,34072,0.09972934667762386,0.1324022775299366,0.39673122211786804,44930.604807466545,0.04751200853642772,5531.6,0.461,0.8800000000000001,2006.0,0.64241893,1,1908,5010.73,4.0,5.4,96866.18761152851,0
24,8221,Sant Just Desvern,10.9022556390977,38.0,35.0,8.04,1,0,0,0,16.0,19279,0.07206896104569739,0.1628336117018518,0.6018319207427771,59397.0,0.2617146596858639,2481.3,0.658,0.9,1996.0,0.60216998,1,1012,2150.47,0.0,8.2,13936.0,0
25,8244,Santa Coloma de Cervelló,7.681051587301589,45.0,45.0,13.05,0,0,0,1,5.0,8287,0.08484003861469772,0.0709587667430916,0.421152733196573,48364.0,0.049651678277390754,1104.5,0.71,0.45,2006.0,0.74193548,1,294,263.09,0.0,0.4,32365.0,0
26,8245,Santa Coloma de Gramenet,6.4341119377190195,31.462304517718945,35.647486264547766,7.901437854990759,0,1,0,0,23.0,118489,0.16505103342926347,0.26509083206036005,0.20063151094194395,31037.84732760003,0.007925088880689815,17041.3,0.569,0.9,2013.0,0.85518694,1,6812,2348.38,43.0,0.3,64879.68777928753,0
27,8252,Barberà del Vallès,5.68627450980392,40.0,35.0,14.72,0,0,1,0,1.0,33032,0.1183555582465488,0.1065039537418261,0.3338967576895132,39246.0,0.029836321122369447,3973.0,0.47,0.47,1990.0,0.6872428,1,923,23232.76,5.0,3.1,32347.0,0
28,8263,Sant Vicenç dels Horts,6.866792979723789,48.95661450924609,45.73186344238976,13.77265931721195,0,0,0,1,9.0,28120,0.14931015291607397,0.11308647581792321,0.26146418918918923,37824.58954480797,0.012837525284470375,3082.8,0.438,0.52,2006.0,0.80952381,1,1130,9652.1,12.0,0.6,118386.0,0
29,8266,Cerdanyola del Vallès,7.85829457147326,52.0,50.0,11.77,0,0,0,0,6.0,57335,0.1100708310804919,0.1368910804918462,0.3886954338536671,42822.0,0.008353851565247978,1872.3,0.569,0.9,2006.0,0.81169196,0,3412,12190.54,8.0,1.0,106231.0,0
30,8282,Tiana,7.3891191709844595,44.0,40.0,13.01,0,0,0,0,5.0,9025,0.07383053739612189,0.07701717451523546,0.5381576952908588,57562.0,0.12461059190031151,1133.2,0.538,0.65,2006.0,0.53164557,1,423,3352.41,0.0,13.4,61994.93,0
31,8289,Torrelles de Llobregat,6.64658634538153,57.0,55.0,16.43,0,0,0,0,1.0,6121,0.08404478026466262,0.07576253880084954,0.4506263845776833,46994.0,0.08144876325088339,451.8,0.8145,0.613,1995.0,0.59130435,0,337,92.4,0.0,0.3,12979.0,0
32,8301,Viladecans,6.32036937302197,49.190615177368656,40.0,15.205062116449632,0,0,1,0,21.0,66810,0.12240994012872322,0.12117038317617125,0.30433320910043415,38935.10043406676,0.029184622486228565,3270.0,0.6012,0.9763,2006.0,0.8509636,1,2943,4535.18,23.0,1.6,27237.943871426432,1
33,8905,"Palma de Cervelló, La",6.2750959986341295,67.0,55.0,17.02,0,0,0,0,5.0,3015,0.1001756218905473,0.09686069651741293,0.44890049751243777,45963.0,0.008361204013377926,552.2,0.84,0.5,1989.0,0.33333333,0,247,33.84,0.0,0.3,20842.0,0
