,CPRO,LITPRO,CUMUN,LITMUN,CUDIS,ALQM2mes_LV_M_VC_21,time_pub_trans,time_priv_trans,str_line_dist,has_beach,has_parks,parks_surface,pt_lines,avg_inc_hh,ibi_urb,ibi_rur,cat_update,vpo,rented_houses_mitma,population,foreign_born_rate,superior_studies_rate,unemployment_rate,has_tram,has_metro,has_rodalies,has_fgc,pop_density,industrial_waste,population_growth,new_houses,mob_estud
17,8,Barcelona,8056,Castelldefels,805605,12.7065455572289,47,40,20.31,1,0,43860.0,16,50347,0.425,0.42,2006,7,1329,13376,0.3221511288875598,0.5294081788277513,0.1031138755980861,0,0,1,0,5223.5,311.89,0.32043435340572557,0.6,0.80529101
18,8,Barcelona,8266,Cerdanyola del Vallès,826601,9.11037542357767,52,50,11.77,0,0,106231.0,6,42822,0.569,0.9,2006,8,3412,57335,0.1368910804918462,0.3886954338536671,0.1100708310804919,0,0,0,0,1872.3,12190.54,0.008353851565247978,1.0,0.81169196
19,8,Barcelona,8068,Cervelló,806801,7.8859553123575,55,55,17.98,0,1,7718.0,2,45654,0.77,1.0,2013,0,427,9215,0.09993836136733587,0.3945673792729246,0.1006935973955507,0,0,0,0,383.1,3222.28,0.09053254437869822,2.3,0.58012821
20,8,Barcelona,8072,Corbera de Llobregat,807201,7.28155339805825,86,60,20.8,0,1,3624.0,3,45440,0.962,0.77,1999,0,857,15029,0.1413757269279393,0.3798821012708763,0.09651772573025483,0,0,0,0,815.7,477.83,0.08434343434343435,0.5,0.60925926
21,8,Barcelona,8073,Cornellà de Llobregat,807301,9.85915492957747,25,35,8.98,0,1,25234.0,32,37966,0.617,0.466,2006,0,1170,21133,0.1592782236312875,0.3627348412435528,0.1138096720768466,1,1,1,1,12775.4,21819.17,-0.10510268896887572,3.7,0.77649186
22,8,Barcelona,8073,Cornellà de Llobregat,807302,10.4398012097507,27,28,8.03,0,1,105000.0,32,43368,0.617,0.466,2006,0,222,6444,0.1092345437616387,0.4173898510242086,0.09754279950341402,0,0,0,1,12775.4,21819.17,0.005304212168486739,3.7,0.77649186
23,8,Barcelona,8073,Cornellà de Llobregat,807303,9.80800653594771,25,35,8.7,0,1,25234.0,32,39531,0.617,0.466,2006,0,547,14069,0.1217770701542398,0.3679366834885208,0.1132371526050181,1,1,1,0,12775.4,21819.17,0.20608658379768538,3.7,0.77649186
24,8,Barcelona,8073,Cornellà de Llobregat,807304,9.72222222222222,24,35,8.31,0,1,105000.0,32,33817,0.617,0.466,2006,0,1409,22241,0.2057842588013129,0.2727238613371701,0.1298146621105166,1,1,1,0,12775.4,21819.17,0.036634817058960614,3.7,0.77649186
25,8,Barcelona,8073,Cornellà de Llobregat,807305,10.8333333333333,25,36,7.83,0,1,105000.0,32,27644,0.617,0.466,2006,0,1018,10683,0.3891166432650005,0.1988512590096415,0.1815246653561734,1,1,0,0,12775.4,21819.17,0.18371191135734072,3.7,0.77649186
26,8,Barcelona,8073,Cornellà de Llobregat,807306,10.7954545454545,26,28,7.64,0,1,105000.0,32,27988,0.617,0.466,2006,0,1252,14588,0.3449325198793529,0.1914932478749657,0.1782781190019194,1,1,0,0,12775.4,21819.17,0.03977191732002851,3.7,0.77649186
27,8,Barcelona,8077,Esplugues de Llobregat,807701,11.6503832593112,37,35,7.13,0,1,162266.66,23,48241,0.672,1.01,1997,0,516,8448,0.149873378314394,0.4464584043560605,0.0908667021780303,1,1,0,0,10168.9,7434.97,0.1,0.1,0.71804802
28,8,Barcelona,8077,Esplugues de Llobregat,807702,11.0169491525424,29,34,7.08,0,1,24768.68,23,40713,0.672,1.01,1997,0,550,9425,0.1668040106100796,0.3884649336870026,0.1148142811671088,1,1,0,0,10168.9,7434.97,-0.04314720812182741,0.1,0.71804802
